alg,timestamp,only_inference,val_size_pct,infer_lr,infer_weight_decay,infer_num_epochs,gpu,seed,root_dir,results_csv,batch_size,num_epochs,lr,weight_decay,momentum,pretrained,infer_momentum,high_sampling_power,train_worst_group_accuracy,train_average_accuracy,group_accuracy,group_avg_precision,group_min_precision,group_avg_recall,group_min_recall,worst_group_accuracy,average_accuracy,early_stopping_worst_group_accuracy,early_stopping_average_accuracy,eiil_num_steps,eiil_lr,upsample_factor
eiil,2024-01-18 00:34:35.856253,False,15,0.0001,0.1,2,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,0.0,92.67987486965588,0.5714285714285714,0.6492220650636492,0.5841584158415841,0.4588502894954507,0.1612903225806451,51.88470066518847,84.82378754310257,80.53215077605321,96.35765843534318,20000.0,0.01,
eiil,2024-01-18 00:40:44.000992,False,5,0.0001,1.0,1,1,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,0.1385041551246537,84.96350364963504,0.2563025210084033,0.7653061224489797,0.5306122448979592,0.521505376344086,0.043010752688172,8.292682926829269,83.01280896040129,56.36363636363637,96.18087748506254,20000.0,0.01,
eiil,2024-01-18 00:40:30.072880,False,5,0.0001,0.1,2,1,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,0.0,92.67987486965588,0.3445378151260504,0.8048780487804879,0.6097560975609756,0.5506617038875103,0.1397849462365591,51.88470066518847,84.82378754310257,77.11751662971176,95.6022024038842,20000.0,0.01,
eiil,2024-01-18 00:37:42.998183,False,15,1e-05,0.1,1,6,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,0.0,76.70490093847758,0.4327731092436975,0.2406015037593984,0.0,0.4102564102564102,0.0,14.1019955654102,86.85447660610507,51.97339246119734,96.03541040966148,20000.0,0.01,
eiil,2024-01-18 00:40:09.086662,False,15,1e-05,0.1,2,6,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,0.0,76.78832116788321,0.4327731092436975,0.2406015037593984,0.0,0.4102564102564102,0.0,14.634146341463415,87.01580926171496,50.62305295950156,96.19925604126767,20000.0,0.01,
eiil,2024-01-18 00:35:22.293084,False,15,0.0001,1.0,1,4,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,0.1385041551246537,84.96350364963504,0.4929971988795518,0.5096153846153846,0.4722222222222222,0.4407223600771988,0.060931899641577,8.292682926829269,83.01280896040129,56.36363636363637,96.18087748506254,20000.0,0.01,
eiil,2024-01-18 00:36:27.667338,False,15,0.0001,1.0,2,4,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,0.0,91.8873826903024,0.5546218487394958,0.6343042071197411,0.6019417475728155,0.4619520264681555,0.1290322580645161,21.773835920177383,83.39808136382288,77.60532150776054,96.52536108066798,20000.0,0.01,
eiil,2024-01-18 00:36:05.209777,False,15,1e-05,0.01,1,5,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,0.0,76.70490093847758,0.4327731092436975,0.2406015037593984,0.0,0.4102564102564102,0.0,14.1019955654102,86.85447660610507,48.598130841121495,96.08502264505483,20000.0,0.01,
eiil,2024-01-18 00:41:08.123240,False,15,1e-05,1.0,2,7,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,0.0,76.78832116788321,0.4327731092436975,0.2406015037593984,0.0,0.4102564102564102,0.0,14.58980044345898,86.98159056550055,52.18068535825545,96.13003792570494,20000.0,0.01,
eiil,2024-01-18 00:37:25.639042,False,15,1e-05,0.01,2,5,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,0.0,76.78832116788321,0.4327731092436975,0.2406015037593984,0.0,0.4102564102564102,0.0,14.634146341463415,87.01580926171496,50.62305295950156,96.19755434257472,20000.0,0.01,
